date,name,n,cpu,gpu,tex
2025-05-05T11:09:34.383,CP,"(32,)",6.525e-5,0.000766875,NaN
2025-05-05T11:11:05.446,CP,"(32,)",6.5291e-5,0.000748209,NaN
2025-05-05T11:11:39.268,CP,"(32,)",6.525e-5,0.000761708,NaN
2025-05-05T11:11:39.268,RBC,"(32, 8)",0.00184625,0.006068667,NaN
2025-05-05T11:12:53.123,CP,"(256,)",0.00052825,0.000787917,NaN
2025-05-05T11:12:53.123,CP,"(512,)",0.001057834,0.000880583,NaN
2025-05-05T11:12:53.123,CP,"(1024,)",0.002117125,0.001146458,NaN
2025-05-05T11:12:53.123,CP,"(2048,)",0.004240958,0.00141675,NaN
2025-05-05T11:14:20.086,CP,"(256,)",0.000528417,0.000777417,NaN
2025-05-05T11:14:20.086,CP,"(512,)",0.001058208,0.00088225,NaN
2025-05-05T11:14:20.086,CP,"(1024,)",0.002123375,0.001152042,NaN
2025-05-05T11:14:20.086,CP,"(2048,)",0.004249583,0.0014345,NaN
2025-05-05T11:19:00.506,RBC,"(32, 8)",0.001843292,0.006216,NaN
2025-05-05T11:19:00.506,RBC,"(64, 8)",0.003711,0.006457167,NaN
2025-05-05T11:23:46.933,RBC,"(2048, 8)",0.121094583,0.017784708,NaN
2025-05-05T11:24:15.913,RBC,"(512, 8)",0.029947083,0.009257083,NaN
2025-05-05T11:24:15.913,RBC,"(1024, 8)",0.061025542,0.01483625,NaN
2025-05-05T11:24:15.913,RBC,"(2048, 8)",0.123456375,0.017615333,NaN
2025-05-05T11:25:45.88,CP,"(32,)",6.5291e-5,0.000795667,NaN
2025-05-05T11:25:45.88,CP,"(64,)",0.000131416,0.000774792,NaN
2025-05-05T11:25:45.88,CP,"(128,)",0.000263708,0.00077725,NaN
2025-05-05T11:25:45.88,CP,"(256,)",0.000528416,0.000815833,NaN
2025-05-05T11:25:45.88,CP,"(512,)",0.001058208,0.00086675,NaN
2025-05-05T11:39:46.613,RBC,"(32, 8)",0.001843375,0.006074708,NaN
2025-05-05T11:53:43.813,RBC,"(32, 8)",0.001847084,0.006172041,NaN
2025-05-05T12:12:36.458,RBC,"(32, 8)",0.001843959,0.00616275,NaN
2025-05-05T13:24:45.466,CP,"(32,)",6.5291e-5,0.0007705,NaN
2025-05-05T13:25:57.325,RBC,"(32, 8)",0.001845958,0.008328292,NaN
2025-05-05T13:27:36.534,CP,"(256,)",0.000528417,0.000801708,NaN
2025-05-05T13:27:36.534,CP,"(512,)",0.001057792,0.000886583,NaN
2025-05-05T13:27:36.534,CP,"(1024,)",0.0021165,0.001158833,NaN
2025-05-05T13:27:36.534,CP,"(2048,)",0.004235,0.001402625,NaN
2025-05-05T13:27:36.534,CP,"(4096,)",0.008472833,0.001984833,NaN
2025-05-05T13:27:36.534,RBC,"(256, 8)",0.014933916,0.008201083,NaN
2025-05-05T13:27:36.534,RBC,"(512, 8)",0.030119334,0.009463875,NaN
2025-05-05T13:27:36.534,RBC,"(1024, 8)",0.060958458,0.015041458,NaN
2025-05-05T13:27:36.534,RBC,"(2048, 8)",0.123352208,0.017852834,NaN
2025-05-05T13:27:36.534,RBC,"(4096, 8)",0.247763042,0.022128125,NaN
2025-05-05T13:37:09.537,CP,"(32,)",6.5291e-5,0.000725,NaN
2025-05-05T13:37:28.981,CP,"(32,)",6.525e-5,0.00074775,NaN
2025-05-05T13:37:28.981,RBC,"(32, 8)",0.0018485,0.008330667,NaN
2025-05-05T13:37:28.981,RBCPrecompute,"(32, 8)",0.000974542,0.00162125,NaN
2025-05-05T13:39:07.145,RBCPrecompute,"(32, 8)",0.000996917,0.007299333,NaN
2025-05-05T13:50:35.996,RBCPrecompute,"(32, 8)",0.000975917,0.006461167,NaN
2025-05-05T13:51:24.773,CP,"(256,)",0.000528292,0.000811916,NaN
2025-05-05T13:51:24.773,CP,"(1024,)",0.002116625,0.001124833,NaN
2025-05-05T13:51:24.773,CP,"(4096,)",0.008498084,0.001949417,NaN
2025-05-05T13:51:24.773,RBC,"(256, 8)",0.015101833,0.008192917,NaN
2025-05-05T13:51:24.773,RBC,"(1024, 8)",0.061254083,0.015044792,NaN
2025-05-05T13:51:24.773,RBC,"(4096, 8)",0.247559666,0.022097583,NaN
2025-05-05T13:51:24.773,RBCPrecompute,"(256, 8)",0.007838834,0.007081084,NaN
2025-05-05T13:51:24.773,RBCPrecompute,"(1024, 8)",0.031709917,0.009702625,NaN
2025-05-05T13:51:24.773,RBCPrecompute,"(4096, 8)",0.129369709,0.016644042,NaN
2025-05-08T14:49:55.019,CP,"(256,)",0.000482125,NaN,NaN
2025-05-08T14:49:55.019,CP,"(1024,)",0.0019315,NaN,NaN
2025-05-08T14:49:55.019,CP,"(4096,)",0.007737916,NaN,NaN
2025-05-08T14:49:55.019,RBC,"(256, 8)",0.076227208,NaN,NaN
2025-05-08T14:49:55.019,RBC,"(1024, 8)",0.306844917,NaN,NaN
2025-05-08T14:49:55.019,RBC,"(4096, 8)",1.245636792,NaN,NaN
2025-05-08T14:49:55.019,RBCPrecompute,"(256, 8)",0.006759292,NaN,NaN
2025-05-08T14:49:55.019,RBCPrecompute,"(1024, 8)",0.027820708,NaN,NaN
2025-05-08T14:49:55.019,RBCPrecompute,"(4096, 8)",0.113670958,NaN,NaN
2025-05-09T17:57:14.189,CP,"(256,)",0.00070525,NaN,NaN
2025-05-09T17:57:14.189,CP,"(1024,)",0.002848042,NaN,NaN
2025-05-09T17:57:14.189,CP,"(4096,)",0.011405334,NaN,NaN
2025-05-09T17:57:14.189,RBC,"(256, 8)",0.089287834,NaN,NaN
2025-05-09T17:57:14.189,RBC,"(1024, 8)",0.365347,NaN,NaN
2025-05-09T17:57:14.189,RBC,"(4096, 8)",1.465441125,NaN,NaN
2025-05-09T17:57:14.189,RBCPrecompute,"(256, 8)",0.01359225,NaN,NaN
2025-05-09T17:57:14.189,RBCPrecompute,"(1024, 8)",0.054583833,NaN,NaN
2025-05-09T17:57:14.189,RBCPrecompute,"(4096, 8)",0.220318583,NaN,NaN
2025-05-09T17:57:14.189,RBC,"(256, 8)",0.089069,NaN,NaN
2025-05-09T17:57:14.189,RBC,"(1024, 8)",0.361510167,NaN,NaN
2025-05-09T17:57:14.189,RBC,"(4096, 8)",1.468560708,NaN,NaN
2025-05-09T17:57:14.189,RBC,"(256, 8)",0.090621833,NaN,NaN
2025-05-09T17:57:14.189,RBC,"(1024, 8)",0.364112375,NaN,NaN
2025-05-09T17:57:14.189,RBC,"(4096, 8)",1.467397583,NaN,NaN
2025-05-09T18:02:35.68,CP,"(256,)",0.000706208,NaN,NaN
2025-05-09T18:02:35.68,CP,"(1024,)",0.002856792,NaN,NaN
2025-05-09T18:02:35.68,CP,"(4096,)",0.011384542,NaN,NaN
2025-05-09T18:02:35.68,RBC,"(256, 8)",0.092055042,NaN,NaN
2025-05-09T18:02:35.68,RBC,"(1024, 8)",0.368471167,NaN,NaN
2025-05-09T18:02:35.68,RBC,"(4096, 8)",1.491086208,NaN,NaN
2025-05-09T18:02:35.68,RBCPrecompute,"(256, 8)",0.013691916,NaN,NaN
2025-05-09T18:02:35.68,RBCPrecompute,"(1024, 8)",0.056076125,NaN,NaN
2025-05-09T18:02:35.68,RBCPrecompute,"(4096, 8)",0.2260385,NaN,NaN
2025-05-09T18:02:35.68,RBC,"(256, 8)",0.089703334,NaN,NaN
2025-05-09T18:02:35.68,RBC,"(1024, 8)",0.36559475,NaN,NaN
2025-05-09T18:12:49.966,CP,"(256,)",0.000705,0.000891084,NaN
2025-05-09T18:12:49.966,CP,"(1024,)",0.002831667,0.001279125,NaN
2025-05-09T18:12:49.966,CP,"(4096,)",0.011448834,0.001828875,NaN
2025-05-09T18:12:49.966,RBCPrecompute,"(256, 8)",0.01350625,0.00913825,NaN
2025-05-09T18:18:35.037,CP,"(256,)",0.000705375,0.000877333,NaN
2025-05-09T18:18:35.037,CP,"(1024,)",0.002853167,0.001265375,NaN
2025-05-09T18:18:35.037,CP,"(4096,)",0.011390625,0.001758875,NaN
2025-05-09T18:20:55.099,CP,"(256,)",0.000705625,0.000920583,NaN
2025-05-09T18:20:55.099,CP,"(1024,)",0.002835708,0.001264375,NaN
2025-05-09T18:20:55.099,CP,"(4096,)",0.011377375,0.001793542,NaN
2025-05-09T18:20:55.099,RBCPrecompute,"(256, 8)",0.013543583,0.009104,NaN
2025-05-09T18:20:55.099,RBCPrecompute,"(1024, 8)",0.054772667,0.012918334,NaN
2025-05-09T18:20:55.099,RBCPrecompute,"(4096, 8)",0.220909083,0.01689525,NaN
2025-05-09T18:20:55.099,RBC,"(256, 8)",0.025509459,0.013534,NaN
2025-05-09T18:20:55.099,RBC,"(1024, 8)",0.104372291,0.025183417,NaN
2025-05-09T18:20:55.099,RBC,"(4096, 8)",0.421927292,0.02994775,NaN
2025-05-09T18:38:43.698,CP,"(256,)",0.00071275,0.000865791,NaN
2025-05-09T18:38:43.698,CP,"(1024,)",0.002827417,0.001265625,NaN
2025-05-09T18:38:43.698,CP,"(4096,)",0.011450125,0.001743,NaN
2025-05-09T18:38:43.698,RBC,"(256, 8)",0.025477209,0.013636084,NaN
2025-05-09T18:38:43.698,RBC,"(1024, 8)",0.104164708,0.025350375,NaN
2025-05-09T18:38:43.698,RBC,"(4096, 8)",0.420760125,0.030000208,NaN
2025-05-09T18:38:43.698,RBCPrecompute,"(256, 8)",0.013601,0.009200334,NaN
2025-05-09T18:38:43.698,RBCPrecompute,"(1024, 8)",0.05524475,0.012842583,NaN
2025-05-09T18:38:43.698,RBCPrecompute,"(4096, 8)",0.223822792,0.016341875,NaN
2025-05-09T19:06:22.001,CP,"(256,)",0.000821583,0.005606083,NaN
2025-05-09T19:07:06.185,RBC,"(256, 8)",0.029691375,0.119695667,NaN
